"yr","naics_code","employee_size","revenue_category","number_of_biz"
"2018","315","9","10","0"
"2018","315","9","11","0"
"2018","315","9","12","0"
"2018","315","9","13","0"
"2018","315","9","88","0"
"2018","315","10","0","0"
"2018","315","10","1","0"
"2018","315","10","2","0"
"2018","315","10","3","0"
"2018","315","10","4","0"
"2018","315","10","5","0"
"2018","315","10","6","0"
"2018","315","10","7","0"
"2018","315","10","8","0"
"2018","315","10","9","0"
"2018","315","10","10","0"
"2018","315","10","11","0"
"2018","315","10","12","0"
"2018","315","10","13","0"
"2018","315","10","88","0"
"2018","315","11","0","0"
"2018","315","11","1","0"
"2018","315","11","2","0"
"2018","315","11","3","0"
"2018","315","11","4","0"
"2018","315","11","5","0"
"2018","315","11","6","0"
"2018","315","11","7","0"
"2018","315","11","8","0"
"2018","315","11","9","0"
"2018","315","11","10","0"
"2018","315","11","11","0"
"2018","315","11","12","0"
"2018","315","11","13","0"
"2018","315","11","88","0"
"2018","315","12","0","0"
"2018","315","12","1","0"
"2018","315","12","2","0"
"2018","315","12","3","0"
"2018","315","12","4","0"
"2018","315","12","5","0"
"2018","315","12","6","0"
"2018","315","12","7","0"
"2018","315","12","8","0"
"2018","315","12","9","0"
"2018","315","12","10","0"
"2018","315","12","11","0"
"2018","315","12","12","0"
"2018","315","12","13","0"
"2018","315","12","88","0"
"2018","315","88","0","1"
"2018","315","88","1","21"
"2018","315","88","2","22"
"2018","315","88","3","27"
"2018","315","88","4","19"
"2018","315","88","5","22"
"2018","315","88","6","13"
"2018","315","88","7","2"
"2018","315","88","8","0"
"2018","315","88","9","0"
"2018","315","88","10","0"
"2018","315","88","11","0"
"2018","315","88","12","0"
"2018","315","88","13","0"
"2018","315","88","88","127"
"2018","316","1","0","0"
"2018","316","1","1","10"
"2018","316","1","2","12"
"2018","316","1","3","9"
"2018","316","1","4","3"
"2018","316","1","5","2"
"2018","316","1","6","0"
"2018","316","1","7","0"
"2018","316","1","8","0"
"2018","316","1","9","0"
"2018","316","1","10","0"
"2018","316","1","11","0"
"2018","316","1","12","0"
"2018","316","1","13","0"
"2018","316","1","88","36"
"2018","316","2","0","0"
"2018","316","2","1","0"
"2018","316","2","2","0"
"2018","316","2","3","1"
"2018","316","2","4","4"
"2018","316","2","5","1"
"2018","316","2","6","0"
"2018","316","2","7","0"
"2018","316","2","8","0"
"2018","316","2","9","0"
"2018","316","2","10","0"
"2018","316","2","11","0"
"2018","316","2","12","0"
"2018","316","2","13","0"
"2018","316","2","88","6"
"2018","316","3","0","0"
"2018","316","3","1","0"
"2018","316","3","2","0"
"2018","316","3","3","0"
"2018","316","3","4","1"
"2018","316","3","5","2"
"2018","316","3","6","1"
"2018","316","3","7","0"
"2018","316","3","8","0"
"2018","316","3","9","0"
"2018","316","3","10","0"
"2018","316","3","11","0"
"2018","316","3","12","0"
"2018","316","3","13","0"
"2018","316","3","88","4"
"2018","316","4","0","0"
"2018","316","4","1","0"
"2018","316","4","2","0"
"2018","316","4","3","0"
"2018","316","4","4","0"
"2018","316","4","5","1"
"2018","316","4","6","0"
"2018","316","4","7","0"
"2018","316","4","8","0"
"2018","316","4","9","0"
"2018","316","4","10","0"
"2018","316","4","11","0"
"2018","316","4","12","0"
"2018","316","4","13","0"
